PacketSize,Latency(ms),Throughput(Mbps)
3034,0.12,201.14
3044,0.07,314.73
3054,0.08,288.15
3064,0.09,251.66
3074,0.10,226.16
3084,0.10,224.39
3094,0.12,200.16
3104,0.09,271.58
3114,0.10,239.01
3124,0.23,102.28
3134,0.11,220.03
3144,0.08,290.43
3154,0.10,234.17
3164,0.10,247.13
3174,0.09,271.26
3184,0.10,242.00
3194,0.11,213.98
3204,0.07,335.87
3214,0.10,250.24
3224,0.10,252.77
3234,0.10,249.43
3244,0.11,218.68
3254,0.07,356.03
3264,0.11,232.58
3274,0.09,269.37
3284,0.09,267.71
3294,0.12,206.54
3304,0.07,376.85
3314,0.10,245.59
3324,0.10,260.75
3334,0.09,270.31
3344,0.12,218.00
3354,0.07,363.89
3364,0.11,236.83
3374,0.09,289.07
3384,0.09,280.87
3394,0.13,197.08
3404,0.09,289.20
3414,0.08,310.52
3424,0.10,264.72
3434,0.11,247.91
3444,0.08,313.59
3454,0.09,293.42
3464,0.09,279.31
3474,0.15,182.44
3484,0.11,244.11
3494,0.10,270.85
3504,0.10,255.68
3514,0.08,343.05
3524,0.07,360.69
3534,0.09,305.45
3544,0.10,274.25
3554,0.08,334.67
3564,0.09,293.36
3574,0.10,278.95
3584,0.09,308.24
3594,0.12,233.50
3604,0.07,402.35
3614,0.11,248.49
3624,0.09,312.88
3634,0.09,298.73
3644,0.13,218.60
3654,0.09,318.49
3664,0.10,280.41
3674,0.13,211.57
3684,0.09,320.56
3694,0.09,323.38
3704,0.10,275.67
3714,0.10,284.27
3724,0.08,378.77
3734,0.07,398.94
3744,0.12,234.69
3754,0.13,227.16
3764,0.07,420.82
3774,0.13,215.16
3784,0.09,323.54
3794,0.09,324.03
3804,0.11,261.27
3814,0.07,419.53
3824,0.08,367.02
3834,0.11,268.90
3844,0.10,283.52
3854,0.08,359.06
3864,0.09,319.98
3874,0.12,250.86
3884,0.06,518.78
3894,0.11,259.13
3904,0.08,367.40
3914,0.09,320.02
3924,0.09,323.16
3934,0.10,313.43
3944,0.12,252.03
3954,0.09,347.42
3964,0.10,292.74
3974,0.13,227.96
3984,0.13,232.28
3994,0.14,225.15
4004,0.09,327.87
4014,0.10,321.89
4024,0.07,452.41
4034,0.12,264.00
4044,0.07,444.89
4054,0.10,319.19
4064,0.09,335.16
4074,0.09,349.00
4084,0.09,355.00
4094,0.10,318.04
4104,0.11,284.36
4114,0.08,391.07
4124,0.09,365.98
4134,0.08,383.18
4144,0.10,310.27
4154,0.09,334.17
4164,0.10,321.45
4174,0.10,313.04
4184,0.09,369.29
4194,0.09,336.85
4204,0.10,316.22
4214,0.10,317.06
4224,0.07,454.34
4234,0.08,420.50
4244,0.11,283.46
4254,0.09,365.78
4264,0.08,396.10
4274,0.10,310.76
4284,0.11,290.97
4294,0.07,492.05
4304,0.10,324.35
4314,0.10,317.42
4324,0.09,357.73
4334,0.09,372.57
4344,0.12,269.25
4354,0.08,420.17
4364,0.10,338.26
4374,0.10,338.45
4384,0.11,293.27
4394,0.10,345.67
4404,0.10,346.96
4414,0.09,358.33
4424,0.12,281.88
4434,0.08,437.57
4444,0.10,340.04
4454,0.09,391.90
4464,0.09,361.12
4474,0.12,277.04
4484,0.08,433.70
4494,0.09,374.63
4504,0.09,365.02
4514,0.09,382.06
4524,0.09,368.99
4534,0.11,316.37
4544,0.10,362.75
4554,0.09,365.81
4564,0.09,386.38
4574,0.11,304.06
4584,0.07,485.00
4594,0.08,434.86
4604,0.09,378.31
4614,0.10,342.10
4624,0.09,386.44
4634,0.09,393.00
4644,0.12,283.65
4654,0.08,428.93
4664,0.09,376.78
4674,0.10,358.35
4684,0.11,333.64
4694,0.08,440.39
4704,0.07,512.40
4714,0.18,196.08
4724,0.12,301.88
4734,0.13,277.57
4744,0.09,409.15
4754,0.11,330.21
4764,0.12,307.68
4774,0.08,441.38
4784,0.09,415.28
4794,0.09,412.53
4804,0.11,349.03
4814,0.09,411.19
4824,0.09,397.84
4834,0.09,420.19
4844,0.12,317.31
4854,0.08,440.08
4864,0.08,447.80
4874,0.09,399.89
4884,0.09,405.59
4894,0.08,474.26
4904,0.10,372.40
4914,0.08,465.78
4924,0.08,468.13
4934,0.11,345.07
4944,0.10,382.51
4954,0.12,324.99
4964,0.09,421.98
4974,0.16,230.17
4984,0.12,304.71
4994,0.08,452.19
5004,0.10,387.12
5014,0.10,382.69
5024,0.10,402.25
5034,0.10,382.04
5044,0.12,319.78
5054,0.10,392.94
5064,0.11,357.57
5074,0.12,321.47
5084,0.09,420.74
5094,0.10,381.21
5104,0.12,332.11
5114,0.09,453.47
5124,0.09,443.23
5134,0.10,399.24
5144,0.10,391.13
5154,0.08,486.96
5164,0.10,381.84
5174,0.11,352.26
5184,0.10,384.03
5194,0.10,379.32
5204,0.10,387.05
5214,0.10,401.25
5224,0.14,287.29
5234,0.09,465.09
5244,0.09,469.14
5254,0.09,456.91
5264,0.11,355.47
5274,0.10,403.67
5284,0.09,425.83
5294,0.11,374.71
5304,0.11,364.13
5314,0.09,451.48
5324,0.11,355.78
5334,0.12,347.20
5344,0.09,458.98
5354,0.10,407.05
5364,0.12,347.11
5374,0.10,398.76
5384,0.11,379.99
5394,0.12,332.44
5404,0.08,485.74
5414,0.11,381.93
5424,0.09,464.44
5434,0.10,427.45
5444,0.07,578.15
5454,0.12,345.92
5464,0.09,451.79
5474,0.10,431.93
5484,0.12,337.36
5494,0.08,533.35
5504,0.10,433.40
5514,0.11,383.77
5524,0.11,374.15
5534,0.08,504.49
5544,0.11,385.47
5554,0.10,418.01
5564,0.11,398.89
5574,0.10,405.24
5584,0.10,432.47
5594,0.11,402.74
5604,0.07,589.24
5614,0.12,350.33
5624,0.09,458.51
5634,0.11,399.59
5644,0.12,351.63
5654,0.10,430.03
5664,0.13,334.03
5674,0.11,409.70
5684,0.11,385.47
5694,0.09,497.33
5704,0.11,389.25
5714,0.09,480.43
5724,0.11,391.52
5734,0.10,431.98
5744,0.09,473.61
5754,0.10,451.27
5764,0.20,217.38
5774,0.11,418.23
5784,0.11,413.34
5794,0.10,423.09
5804,0.09,516.22
5814,0.11,413.59
5824,0.11,409.41
5834,0.11,402.22
5844,0.10,453.39
5854,0.10,427.02
5864,0.12,384.32
5874,0.10,459.50
5884,0.10,434.36
5894,0.11,405.15
5904,0.10,445.54
5914,0.10,438.70
5924,0.12,383.09
5934,0.09,478.77
5944,0.10,438.33
5954,0.12,377.26
5964,0.10,459.20
5974,0.09,494.23
5984,0.12,387.39
5994,0.14,321.21
6004,0.14,324.94
6014,0.10,460.30
6024,0.12,389.82
6034,0.10,445.52
6044,0.09,519.69
6054,0.09,541.10
6064,0.09,504.19
6074,0.10,448.17
6084,0.09,489.74
6094,0.10,484.56
6104,0.11,439.30
6114,0.12,384.08
6124,0.09,503.20
6134,0.10,457.11
6144,0.13,368.22
6154,0.09,522.96
6164,0.10,480.51
6174,0.13,360.51
6184,0.09,514.28
6194,0.10,496.91
6204,0.11,437.74
6214,0.12,397.33
6224,0.09,521.76
6234,0.10,471.37
6244,0.13,367.75
6254,0.10,491.75
6264,0.11,428.31
6274,0.10,466.81
6284,0.10,482.03
6294,0.11,446.65
6304,0.12,416.52
6314,0.08,634.01
6324,0.10,462.72
6334,0.10,470.50
6344,0.13,374.33
6354,0.11,450.28
6364,0.13,366.36
6374,0.09,550.23
6384,0.10,498.42
6394,0.12,405.17
6404,0.10,495.22
6414,0.09,516.30
6424,0.12,404.82
6434,0.10,487.03
6444,0.09,534.22
6454,0.11,455.88
6464,0.12,426.21
6474,0.08,586.40
6484,0.11,457.16
6494,0.10,493.14
6504,0.11,464.36
6514,0.08,608.89
6524,0.10,506.35
6534,0.09,531.62
6544,0.09,554.99
6554,0.13,375.31
6564,0.09,549.60
6574,0.09,534.14
6584,0.13,384.62
6594,0.09,558.79
6604,0.09,539.33
6614,0.10,530.44
6624,0.10,506.38
6634,0.09,564.57
6644,0.09,563.78
6654,0.09,556.89
6664,0.10,528.01
6674,0.10,507.21
6684,0.11,476.05
6694,0.11,454.01
6704,0.10,530.96
6714,0.12,422.39
6724,0.10,513.10
6734,0.09,558.56
