PacketSize,Latency(ms),Throughput(Mbps)
3034,0.07,335.72
3044,0.07,327.88
3054,0.07,331.34
3064,0.07,344.73
3074,0.08,298.15
3084,0.07,331.82
3094,0.07,332.42
3104,0.07,329.23
3114,0.07,338.38
3124,0.07,332.46
3134,0.07,353.39
3144,0.07,349.82
3154,0.07,357.23
3164,0.07,365.47
3174,0.07,337.45
3184,0.07,344.67
3194,0.07,341.34
3204,0.07,348.56
3214,0.07,362.25
3224,0.07,352.19
3234,0.07,364.61
3244,0.07,339.69
3254,0.07,341.02
3264,0.07,351.38
3274,0.07,364.65
3284,0.07,360.50
3294,0.07,346.35
3304,0.06,392.21
3314,0.07,350.09
3324,0.07,364.00
3334,0.07,370.15
3344,0.07,365.72
3354,0.07,365.30
3364,0.07,375.28
3374,0.07,362.30
3384,0.07,359.33
3394,0.05,499.21
3404,0.05,512.95
3414,0.05,485.40
3424,0.05,533.23
3434,0.05,512.61
3444,0.06,450.93
3454,0.05,506.28
3464,0.05,501.29
3474,0.05,489.37
3484,0.05,526.35
3494,0.06,448.09
3504,0.05,525.83
3514,0.05,499.06
3524,0.06,480.54
3534,0.05,504.72
3544,0.05,530.17
3554,0.05,499.54
3564,0.05,519.91
3574,0.05,544.70
3584,0.05,532.39
3594,0.05,556.07
3604,0.05,540.31
3614,0.05,538.21
3624,0.05,539.60
3634,0.05,513.05
3644,0.05,522.39
3654,0.05,562.17
3664,0.05,508.63
3674,0.06,503.15
3684,0.05,558.45
3694,0.05,527.28
3704,0.05,565.52
3714,0.05,563.00
3724,0.05,567.33
3734,0.05,529.72
3744,0.05,566.42
3754,0.05,531.47
3764,0.05,575.72
3774,0.05,548.97
3784,0.05,578.32
3794,0.05,564.14
3804,0.05,568.62
3814,0.05,532.35
3824,0.05,580.36
3834,0.06,527.43
3844,0.06,518.98
3854,0.05,562.43
3864,0.06,491.41
3874,0.05,565.45
3884,0.05,622.53
3894,0.05,572.76
3904,0.05,555.90
3914,0.05,609.92
3924,0.06,530.43
3934,0.05,604.27
3944,0.05,580.33
3954,0.05,576.47
3964,0.05,606.68
3974,0.05,572.49
3984,0.05,597.51
3994,0.05,587.92
4004,0.06,546.38
4014,0.05,581.11
4024,0.05,591.65
4034,0.05,612.72
4044,0.05,605.20
4054,0.05,626.36
4064,0.05,600.66
4074,0.05,626.78
4084,0.05,590.57
4094,0.05,572.80
4104,0.05,627.22
4114,0.05,586.46
4124,0.05,623.78
4134,0.05,627.04
4144,0.05,612.48
4154,0.05,624.11
4164,0.05,582.59
4174,0.05,621.13
4184,0.05,637.15
4194,0.05,636.39
4204,0.05,613.27
4214,0.05,643.78
4224,0.05,602.70
4234,0.05,614.59
4244,0.05,658.25
4254,0.05,606.42
4264,0.05,637.50
4274,0.05,641.89
4284,0.05,650.69
4294,0.05,655.21
4304,0.05,636.50
4314,0.05,645.36
4324,0.05,632.71
4334,0.05,656.59
4344,0.05,628.76
4354,0.05,667.97
4364,0.06,544.12
4374,0.07,486.74
4384,0.06,518.16
4394,0.06,531.45
4404,0.07,482.96
4414,0.06,587.31
4424,0.05,662.33
4434,0.05,636.00
4444,0.06,581.06
4454,0.05,648.99
4464,0.05,674.14
4474,0.05,651.29
4484,0.05,648.53
4494,0.05,649.98
4504,0.05,638.48
4514,0.05,693.78
4524,0.05,632.50
4534,0.05,664.33
4544,0.05,670.95
4554,0.06,565.78
4564,0.05,667.83
4574,0.05,703.71
4584,0.05,638.66
4594,0.05,692.27
4604,0.05,661.75
4614,0.05,669.88
4624,0.05,677.91
4634,0.05,672.78
4644,0.05,667.00
4654,0.05,683.62
4664,0.05,675.98
4674,0.05,668.16
4684,0.05,682.12
4694,0.05,696.87
4704,0.05,676.38
4714,0.05,713.59
4724,0.05,697.39
4734,0.05,686.25
4744,0.05,702.66
4754,0.05,676.56
4764,0.05,718.88
4774,0.05,697.89
4784,0.05,690.09
4794,0.05,722.55
4804,0.05,697.33
4814,0.05,684.33
4824,0.05,708.59
4834,0.05,686.02
4844,0.05,707.44
4854,0.05,726.28
4864,0.05,700.04
4874,0.05,713.46
4884,0.05,736.69
4894,0.06,677.89
4904,0.06,670.15
4914,0.05,713.30
4924,0.05,714.61
4934,0.06,678.02
4944,0.05,744.71
4954,0.07,571.80
4964,0.05,721.93
4974,0.05,760.19
4984,0.06,656.39
4994,0.07,510.06
5004,0.06,600.56
5014,0.06,631.46
5024,0.09,441.59
5034,0.07,568.90
5044,0.07,528.03
5054,0.06,640.83
5064,0.05,719.73
5074,0.05,729.31
5084,0.05,738.25
5094,0.06,695.62
5104,0.05,756.12
5114,0.05,722.93
5124,0.05,738.58
5134,0.06,705.63
5144,0.05,735.35
5154,0.05,728.05
5164,0.05,757.95
5174,0.05,767.84
5184,0.06,655.90
5194,0.05,774.72
5204,0.05,782.18
5214,0.05,786.31
5224,0.06,679.79
5234,0.05,780.84
5244,0.05,771.47
5254,0.05,804.11
5264,0.05,738.39
5274,0.06,687.58
5284,0.05,799.24
5294,0.06,667.16
5304,0.05,763.23
5314,0.05,815.58
5324,0.05,752.48
5334,0.05,793.28
5344,0.05,765.37
5354,0.05,760.38
5364,0.05,771.72
5374,0.05,783.80
5384,0.05,799.93
5394,0.06,735.27
5404,0.05,828.73
5414,0.05,820.04
5424,0.05,873.03
5434,0.05,825.86
5444,0.05,883.15
5454,0.05,881.21
5464,0.05,900.56
5474,0.05,837.28
5484,0.05,903.86
5494,0.05,871.61
5504,0.05,899.77
5514,0.05,871.34
5524,0.05,904.78
5534,0.05,895.84
5544,0.04,946.67
5554,0.05,841.92
5564,0.05,877.61
5574,0.05,900.60
5584,0.05,910.12
5594,0.05,877.98
5604,0.05,914.16
5614,0.05,912.08
5624,0.05,915.27
5634,0.05,925.18
5644,0.05,889.12
5654,0.05,942.05
5664,0.05,931.91
5674,0.05,862.85
5684,0.05,912.38
5694,0.05,911.11
5704,0.05,858.68
5714,0.05,921.46
5724,0.05,919.19
5734,0.05,937.57
5744,0.05,923.18
5754,0.05,917.44
5764,0.05,959.33
5774,0.05,902.71
5784,0.05,899.48
5794,0.05,926.34
5804,0.05,928.52
5814,0.05,911.01
5824,0.05,941.39
5834,0.06,769.27
5844,0.05,974.77
5854,0.05,946.84
5864,0.05,921.69
5874,0.05,922.69
5884,0.05,838.62
5894,0.05,887.29
5904,0.05,839.75
5914,0.05,933.39
5924,0.05,940.42
5934,0.05,834.98
5944,0.05,950.32
5954,0.05,915.10
5964,0.05,959.55
5974,0.05,916.88
5984,0.05,917.49
5994,0.05,932.14
6004,0.05,997.54
6014,0.05,965.96
6024,0.05,992.22
6034,0.05,975.33
6044,0.05,863.20
6054,0.05,994.37
6064,0.05,939.96
6074,0.05,963.83
6084,0.05,993.31
6094,0.05,985.87
6104,0.05,849.35
6114,0.05,974.84
6124,0.05,976.84
6134,0.05,989.40
6144,0.05,964.51
6154,0.05,1001.73
6164,0.05,967.25
6174,0.05,1014.51
6184,0.05,964.44
6194,0.05,1016.71
6204,0.05,1029.42
6214,0.05,986.87
6224,0.05,962.02
6234,0.05,1027.69
6244,0.05,979.80
6254,0.05,1009.83
6264,0.05,1009.30
6274,0.05,1001.40
6284,0.05,1000.48
6294,0.05,1006.06
6304,0.05,990.44
6314,0.05,1024.06
6324,0.05,987.48
6334,0.05,970.76
6344,0.05,1046.28
6354,0.05,1025.97
6364,0.05,1026.50
6374,0.05,1030.95
6384,0.05,1030.82
6394,0.05,990.91
6404,0.05,1040.43
6414,0.05,1005.86
6424,0.05,1073.40
6434,0.05,1011.49
6444,0.05,1022.75
6454,0.05,1066.50
6464,0.05,1047.72
6474,0.05,1024.53
6484,0.05,1086.75
6494,0.05,925.73
6504,0.05,909.82
6514,0.05,992.57
6524,0.05,1011.05
6534,0.05,1022.78
6544,0.05,998.93
6554,0.05,1001.26
6564,0.05,1033.42
6574,0.05,1073.31
6584,0.05,1059.97
6594,0.06,816.69
6604,0.05,1073.15
6614,0.05,1055.89
6624,0.05,1065.96
6634,0.05,1053.57
6644,0.05,959.31
6654,0.05,1052.80
6664,0.05,1060.76
6674,0.05,1034.30
6684,0.05,1076.75
6694,0.06,826.39
6704,0.06,894.19
6714,0.06,906.29
6724,0.05,959.60
6734,0.05,1048.50
6744,0.05,988.90
6754,0.05,1055.92
6764,0.05,1067.33
6774,0.05,1064.28
6784,0.06,905.65
6794,0.05,963.46
6804,0.05,1032.22
6814,0.05,1033.94
6824,0.05,1124.23
6834,0.05,1068.43
6844,0.05,1065.84
6854,0.05,1106.24
6864,0.05,1085.35
6874,0.05,1035.63
6884,0.05,1155.32
6894,0.05,1074.29
6904,0.05,1113.13
6914,0.05,1125.21
6924,0.05,1129.72
6934,0.05,1129.67
6944,0.05,1151.96
6954,0.05,1099.13
6964,0.04,1181.74
6974,0.05,1129.19
6984,0.05,1100.45
6994,0.05,1127.16
7004,0.05,1138.88
7014,0.05,1115.31
7024,0.05,1164.72
7034,0.05,1074.38
7044,0.05,1129.02
7054,0.05,1102.60
7064,0.05,1111.22
7074,0.05,1088.33
7084,0.05,1172.12
7094,0.05,1096.05
7104,0.05,1160.83
7114,0.05,1100.03
7124,0.05,1098.24
7134,0.05,1115.10
7144,0.05,1122.41
7154,0.05,1125.61
7164,0.05,1140.83
7174,0.05,1089.87
7184,0.05,1143.77
7194,0.05,1153.06
7204,0.05,1123.05
7214,0.05,1106.52
7224,0.05,1164.72
7234,0.05,1138.90
7244,0.05,1017.25
7254,0.05,1174.28
7264,0.05,1107.07
7274,0.05,1176.52
7284,0.05,1162.60
7294,0.05,1153.58
7304,0.05,1130.10
7314,0.05,1163.50
7324,0.05,1135.26
7334,0.05,1193.56
7344,0.05,1196.72
7354,0.05,1196.05
7364,0.05,1179.82
7374,0.05,1201.09
